Column1;Column1192;Column1193;Column1202;Column1203;Column1212;Column1213;Column1222;Column1223;Column1232;Column1233;Column1242;Column1243;Column1252;Column1253;Column1262;Column1263;Column1272;Column1273;Column1282;Column1283;Column1292;Column1293;Column1302;Column1303;Column132;Column133
1679047325;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;13608;128;2144;96;5124;64;28059;32;32384;16;6400;8;13824
1679047925;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;13776;128;2144;96;5124;64;28225;32;32384;16;6400;8;13824
1679048525;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;13776;128;2144;96;5124;64;27598;32;32384;16;6400;8;13824
1679049125;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;13902;128;2144;96;5124;64;28276;32;32384;16;6400;8;13824
1679049725;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;13902;128;2144;96;5124;64;27301;32;32384;16;6400;8;13824
1679050325;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;13902;128;2144;96;5124;64;29007;32;32384;16;6400;8;13824
1679050925;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;13902;128;2144;96;5124;64;29783;32;33024;16;6400;8;13824
1679051525;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;12634;128;2144;96;5124;64;30419;32;33024;16;6400;8;13824
1679052125;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;12936;128;2144;96;5124;64;29341;32;33152;16;6400;8;13824
1679052725;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;12936;128;2144;96;5124;64;28752;32;33152;16;6400;8;13824
1679053325;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;12936;128;2144;96;5124;64;28312;32;33152;16;6400;8;13824
1679053925;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;12936;128;2144;96;5124;64;27895;32;33536;16;6400;8;13824
1679054525;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;12936;128;2144;96;5124;64;28754;32;33664;16;6400;8;13824
1679055125;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;12936;128;2144;96;5124;64;28073;32;34048;16;6400;8;13824
1679055725;8192;564;4096;1194;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5124;64;29004;32;34048;16;6400;8;13824
1679056325;8192;564;4096;1187;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;91706;32;34432;16;6400;8;13824
1679056925;8192;564;4096;1185;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;72243;32;34432;16;6400;8;13824
1679057525;8192;564;4096;1195;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;70275;32;34560;16;6400;8;13824
1679058125;8192;564;4096;1195;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;64631;32;34560;16;6400;8;13824
1679058725;8192;564;4096;1195;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;59116;32;34688;16;6400;8;13824
1679059325;8192;564;4096;1195;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;56332;32;34688;16;6400;8;13824
1679059925;8192;564;4096;1195;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;53726;32;34944;16;6400;8;13824
1679060525;8192;564;4096;1195;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;48631;32;34944;16;6400;8;13824
1679061125;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;44787;32;35072;16;6400;8;13824
1679061725;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;47416;32;35200;16;6400;8;13824
1679062325;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;45929;32;35200;16;6400;8;13824
1679062925;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;12216;128;2144;96;5166;64;42121;32;35200;16;6400;8;13824
1679063525;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;11970;128;2144;96;5166;64;42461;32;35200;16;6400;8;13824
1679064125;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;11794;128;2144;96;5166;64;44479;32;35200;16;6400;8;13824
1679064725;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;11837;128;2144;96;5166;64;40959;32;35200;16;6400;8;13824
1679065325;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;12012;128;2144;96;5166;64;41284;32;35200;16;6400;8;13824
1679065925;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;12642;128;2144;96;5166;64;41378;32;35200;16;6400;8;13824
1679066525;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;11795;128;2144;96;5166;64;40188;32;35200;16;6400;8;13824
1679067125;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;12558;128;2144;96;5166;64;40601;32;35200;16;6400;8;13824
1679067725;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;11753;128;2144;96;5166;64;39336;32;35200;16;6400;8;13824
1679068325;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;11634;128;2144;96;5166;64;40165;32;35200;16;6400;8;13824
1679068925;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;11592;128;2144;96;5166;64;38003;32;35200;16;6400;8;13824
1679069525;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9996;128;2144;96;5166;64;34420;32;35200;16;6400;8;13824
1679070125;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9537;128;2144;96;5166;64;32874;32;35200;16;6400;8;13824
1679070725;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;8466;128;2144;96;5166;64;31913;32;35200;16;6400;8;13824
1679071325;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9828;128;2144;96;5166;64;32757;32;35200;16;6400;8;13824
1679071925;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;8685;128;2144;96;5208;64;32211;32;35200;16;6400;8;13824
1679072525;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;8601;128;2144;96;5208;64;32359;32;35200;16;6400;8;13824
1679073125;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9954;128;2144;96;5208;64;31776;32;35200;16;6400;8;13824
1679073725;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9534;128;2144;96;5208;64;32393;32;35200;16;6400;8;13824
1679074325;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9366;128;2144;96;5208;64;32624;32;35200;16;6400;8;13824
1679074925;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9660;128;2144;96;5208;64;33135;32;35200;16;6400;8;13824
1679075525;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9147;128;2144;96;5208;64;32359;32;35200;16;6400;8;13824
1679076125;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9315;128;2144;96;5292;64;34856;32;35200;16;6400;8;13824
1679076725;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9618;128;2144;96;5292;64;31611;32;35200;16;6400;8;13824
1679077325;8192;564;4096;1199;2048;740;1024;2336;512;1408;256;2336;192;9618;128;2144;96;5292;64;31667;32;35200;16;6400;8;13824
1679077925;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;9618;128;2144;96;5292;64;27980;32;35200;16;6400;8;13824
1679078525;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10038;128;2144;96;5292;64;28564;32;35200;16;6400;8;13824
1679079125;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10668;128;2144;96;5292;64;28188;32;35200;16;6400;8;13824
1679079725;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10794;128;2144;96;5292;64;28935;32;35200;16;6400;8;13824
1679080325;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10878;128;2144;96;5292;64;28540;32;35200;16;6400;8;13824
1679080925;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10878;128;2144;96;5292;64;27587;32;35200;16;6400;8;13824
1679081525;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10878;128;2144;96;5292;64;26683;32;35200;16;6400;8;13824
1679082125;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10878;128;2144;96;5292;64;27089;32;35200;16;6400;8;13824
1679082725;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10668;128;2144;96;5292;64;29688;32;35200;16;6400;8;13824
1679083325;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;9912;128;2144;96;5292;64;29383;32;35328;16;6400;8;13824
1679083925;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;11172;128;2144;96;5292;64;27753;32;35328;16;6400;8;13824
1679084525;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12619;128;2144;96;5292;64;26364;32;35328;16;6400;8;13824
1679085125;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;11508;128;2144;96;5292;64;25663;32;35328;16;6400;8;13824
1679085725;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;10166;128;2144;96;5292;64;28248;32;35584;16;6400;8;13824
1679086325;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;11928;128;2144;96;5292;64;25532;32;35712;16;6400;8;13824
1679086925;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;13104;128;2144;96;5292;64;26386;32;35712;16;6400;8;13824
1679087525;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12558;128;2144;96;5292;64;27041;32;35712;16;6400;8;13824
1679088125;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12810;128;2144;96;5292;64;26937;32;35712;16;6400;8;13824
1679088725;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12602;128;2144;96;5292;64;28317;32;35712;16;6400;8;13824
1679089325;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12642;128;2144;96;5292;64;29626;32;35712;16;6400;8;13824
1679089925;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12508;128;2144;96;5292;64;29110;32;35840;16;6400;8;13824
1679090525;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12432;128;2144;96;5292;64;29618;32;35840;16;6400;8;13824
1679091125;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12516;128;2144;96;5292;64;27997;32;35840;16;6400;8;13824
1679091725;8192;564;4096;1200;2048;740;1024;2336;512;1408;256;2336;192;12392;128;2144;96;5292;64;28802;32;35840;16;6400;8;13824
